,X,player.x,pos.x,age.x,tm.x,g.x,mp.x,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,obpm,dbpm,bpm,vorp,mp.y,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ftpercent,pts,FGM_0_5,FGA_0_5,FGP_0_5,FGM_5_9,FGA_5_9,FGP_5_9,FGM_10_14,FGA_10_14,FGP_10_14,FGM_15_19,FGA_15_19,FGP_15_19,FGM_20_24,FGA_20_24,FGP_20_24,FGM_25_29,FGA_25_29,FGP_25_29
1,1,Álex Abrines,SG,24,OKC,75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,-0.5,-1.7,-2.2,-0.1,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.848,4.7,0.3,0.6,54.8,0,0.1,28.6,0.1,0.1,62.5,0,0.1,0,0.5,1.5,36.8,0.6,1.6,39.3
2,2,Quincy Acy,PF,27,BRK,70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,-2,-0.2,-2.2,-0.1,19.4,1.9,5.2,0.356,1.5,4.2,0.349,0.4,1,0.384,0.496,0.817,5.9,0.3,0.7,45.7,0,0.1,0,0,0.1,20,0.1,0.2,45.5,0.7,2.1,34.5,0.8,2.2,34.9
3,3,Steven Adams,C,24,OKC,76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,2.2,1.1,3.3,3.3,32.7,5.9,9.4,0.629,0,0,0,5.9,9.3,0.631,0.629,0.559,13.9,4.8,7.2,66.9,0.8,1.6,50.4,0.3,0.5,52.8,0,0.1,20,0,0,0,0,0,0
4,4,Bam Adebayo,C,20,MIA,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,-1.6,1.8,0.2,0.8,19.8,2.5,4.9,0.512,0,0.1,0,2.5,4.8,0.523,0.512,0.721,6.9,2.2,3.7,59.5,0.2,0.6,30.8,0.1,0.4,26.9,0.1,0.2,33.3,0,0,0,0,0,0
5,5,Arron Afflalo,SG,32,ORL,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,-4.1,-1.8,-5.8,-0.7,12.9,1.2,3.1,0.401,0.5,1.3,0.386,0.7,1.7,0.413,0.485,0.846,3.4,0.3,0.4,60.9,0.1,0.2,50,0.1,0.4,30,0.2,0.5,35.7,0.3,0.9,34,0.2,0.5,41.4
6,6,LaMarcus Aldridge,C,32,SAS,75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,7.4,3.5,10.9,3,0.3,3.3,3.3,33.5,9.2,18,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,0.837,23.1,4.2,6.2,67.8,1.1,2.6,44.3,1.8,4,44.4,1.4,3.2,42.3,0.5,1.3,41.8,0.2,0.7,24.1
7,7,Jarrett Allen,C,19,BRK,72,1441,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,-1.3,1.4,0.2,0.8,20,3.3,5.5,0.589,0.1,0.2,0.333,3.2,5.3,0.599,0.596,0.776,8.2,2.8,4.3,65.5,0.3,0.7,39.2,0.1,0.2,38.5,0,0.1,22.2,0.1,0.2,40,0,0,0
8,8,Al-Farouq Aminu,PF,27,POR,69,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,-0.8,1.9,1.1,1.6,30,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.738,9.3,1.2,2.1,58.9,0.2,0.7,24.5,0,0.2,16.7,0,0.4,11.1,1,2.5,41.3,0.8,2.6,31.8
9,9,Justin Anderson,SF,24,PHI,38,519,13,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,-0.5,-1.5,-2,0,13.7,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.737,6.2,1.2,1.9,63,0,0.3,0,0.1,0.2,28.6,0.1,0.2,62.5,0.3,1.2,26.8,0.6,1.7,36.5
10,10,Kyle Anderson,SF,24,SAS,74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,-0.3,4.3,4.1,3,26.7,3.1,5.9,0.527,0.3,0.8,0.333,2.9,5.1,0.556,0.549,0.712,7.9,1.9,2.9,64.5,0.4,0.9,44.6,0.3,0.6,41.7,0.2,0.5,47.1,0.3,0.8,40,0.1,0.2,26.7
11,11,Ryan Anderson,PF,29,HOU,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,1,-0.8,0.2,1,26.1,3.1,7.3,0.431,2,5.1,0.386,1.2,2.1,0.539,0.568,0.774,9.3,0.7,1.2,59,0,0.2,9.1,0.1,0.2,53.8,0.3,0.5,56.7,0.5,1.2,41,1.5,3.8,39.6
12,12,Giannis Antetokounmpo,PF,23,MIL,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,3.9,1.9,5.8,5.4,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,0.76,26.9,6.8,9.7,70.2,0.8,2,38.6,0.6,1.8,35.6,0.7,2.2,32.1,0.6,1.5,36.8,0.4,1.5,29.4
13,13,Carmelo Anthony,PF,33,OKC,78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,-1.9,-1.9,-3.8,-1.1,32.1,6.1,15,0.404,2.2,6.1,0.357,3.9,8.9,0.437,0.476,0.767,16.2,1.1,2,54.1,0.2,0.7,33.9,1,2.2,45,1.2,2.8,42,1.3,3.7,35.1,1.3,3.6,35.8
14,14,OG Anunoby,SF,20,TOR,74,1481,10,0.587,0.569,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,1.4,1.6,3,0.2,0.4,0.6,1,20,2.2,4.7,0.471,1,2.7,0.371,1.2,2,0.604,0.577,0.629,5.9,1.2,1.8,65.4,0,0,0,0,0,33.3,0,0.1,0,0.8,1.7,46,0.2,1,21.6
15,15,Trevor Ariza,SF,32,HOU,67,2269,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7,14.4,2.6,2.8,5.3,0.8,0.7,1.5,2,33.9,4,9.7,0.412,2.5,6.9,0.368,1.5,2.8,0.519,0.542,0.854,11.7,1.4,2.4,58.9,0,0.2,7.1,0,0.1,0,0,0.1,20,1.6,4,41.1,0.9,2.9,31.5
16,16,D.J. Augustin,PG,30,ORL,75,1760,15.4,0.615,0.504,0.35,1.9,8.2,5,24.4,1.5,0,16.5,18.6,3.3,0.8,4.1,1.5,-2.5,-0.9,0.5,23.5,3.3,7.2,0.452,1.5,3.6,0.419,1.7,3.6,0.485,0.557,0.868,10.2,1.2,2.3,53.2,0.1,0.5,29.7,0.1,0.3,42.9,0.2,0.3,48,0.5,1.1,43.8,1.1,2.7,42.2
17,17,Dwayne Bacon,SG,22,CHO,53,713,5.8,0.431,0.224,0.13,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-5.4,-0.3,-5.7,-0.7,13.5,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.404,0.8,3.3,0.5,0.8,61.5,0.1,0.3,37.5,0.2,0.6,33.3,0.4,1.1,34,0.3,0.8,31.8,0,0.3,12.5
18,18,Lonzo Ball,PG,20,LAL,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,-0.8,2.5,1.7,1.7,34.2,3.9,10.8,0.36,1.7,5.7,0.305,2.2,5.2,0.42,0.44,0.451,10.2,1.6,3.4,46,0.2,0.6,30,0.2,0.5,40,0.2,0.5,36,0.5,1.5,35.5,1.3,4.3,29.6
19,19,J.J. Barea,PG,33,DAL,69,1603,17.8,0.545,0.454,0.148,1,13.4,7,45.1,1.1,0.2,16.3,24.9,2.3,1,3.3,2.4,-2.3,0.1,0.8,23.2,4.4,10,0.439,1.7,4.5,0.367,2.7,5.5,0.499,0.522,0.784,11.6,1.4,2.3,61.4,0.5,1.2,43.5,0.4,1,43.1,0.3,0.7,38.8,0.6,1.5,39,1.1,3.1,35.8
20,20,Harrison Barnes,PF,25,DAL,77,2634,15.8,0.539,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2,1.9,3.8,-0.7,-1.4,-2.1,-0.1,34.2,7,15.7,0.445,1.5,4.3,0.357,5.4,11.4,0.478,0.494,0.827,18.9,2.5,4.2,58.2,1,2.3,44.9,0.6,1.8,35.8,0.9,2.1,42.4,1.2,2.9,40.3,0.8,2.3,33.9
21,21,Will Barton,SG,27,DEN,81,2683,16.2,0.562,0.411,0.22,3,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,1.6,-0.6,0.9,2,33.1,5.7,12.7,0.452,1.9,5.2,0.37,3.8,7.5,0.51,0.528,0.805,15.7,2.9,4.8,61.3,0.4,1.4,29.7,0.3,0.6,44,0.2,0.5,30.2,0.7,2,35.4,1.3,3.3,37.6
22,22,Nicolas Batum,SG,29,CHO,64,1981,14.4,0.523,0.422,0.2,3.1,13.8,8.4,26.2,1.6,1,15.6,18.3,1.7,1.8,3.5,0.9,0.5,1.4,1.7,31,4.2,10.2,0.415,1.4,4.3,0.336,2.8,5.9,0.473,0.486,0.831,11.6,0.8,1.2,67.9,0.2,0.5,44.1,0.8,1.7,46.7,0.8,1.9,40.8,0.6,1.8,31.3,1,3,34.7
23,23,Jerryd Bayless,SG,29,PHI,39,925,7.5,0.546,0.557,0.168,1.8,7.3,4.7,8,1.2,0.5,14.1,15.1,0.2,0.9,1.1,-1.8,-1,-2.7,-0.2,23.7,2.8,6.7,0.416,1.4,3.7,0.37,1.4,3,0.474,0.519,0.795,7.9,1,1.5,65,0.1,0.4,26.7,0.1,0.3,30.8,0.1,0.4,29.4,0.7,1.8,38,0.8,2.2,34.9
24,24,Aron Baynes,C,31,BOS,81,1485,12,0.502,0.047,0.175,9.7,22.1,16,9.6,0.7,2.9,14.3,16.8,0.5,2.5,3,-3.8,2.1,-1.7,0.1,18.3,2.6,5.5,0.471,0,0.3,0.143,2.6,5.2,0.487,0.474,0.756,6,1.3,2.5,52.7,0.3,0.8,41.9,0.4,0.9,43.2,0.5,1,50,0.1,0.3,24,0,0.1,20
25,25,Kent Bazemore,SG,28,ATL,65,1789,14.5,0.547,0.405,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17,22.5,0.2,2,2.2,-0.6,1.1,0.5,1.1,27.5,4.4,10.4,0.42,1.7,4.2,0.394,2.7,6.2,0.438,0.5,0.796,12.9,1.7,3.1,54.7,0.1,0.7,17.4,0.3,0.6,42.5,0.4,1.1,31.1,1.2,2.7,43.4,0.8,2.2,35.7
26,26,Bradley Beal,SG,24,WAS,82,2977,18.4,0.564,0.357,0.249,2.3,11.5,6.9,21,1.6,1.1,11.5,27.6,4.4,2.5,6.9,2.7,-1,1.7,2.7,36.3,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,0.527,0.791,22.6,2.9,4.5,63.9,0.4,1.1,36,0.9,2,43,1.3,2.9,44,1.2,2.8,41.5,1.7,4.7,37.1
27,27,Michael Beasley,PF,29,NYK,74,1653,17.8,0.556,0.107,0.197,6.5,21.2,13.9,12.5,1.1,2.3,14,26.9,0.9,1.5,2.4,-1,-0.4,-1.5,0.2,22.3,5.5,10.9,0.507,0.5,1.2,0.395,5.1,9.7,0.52,0.528,0.78,13.2,2.9,4.6,63.8,0.9,2.1,44.3,0.7,1.6,45.3,0.4,1.3,30.8,0.4,0.9,42.4,0.3,0.7,44.7
28,28,Jordan Bell,C,23,GSW,57,809,18,0.641,0.022,0.238,8.9,19,14.3,16.9,2.1,5.5,20,13.9,1.6,1.4,2.9,0,3.7,3.7,1.2,14.2,2,3.2,0.627,0,0.1,0,2,3.2,0.641,0.627,0.682,4.6,1.6,2.4,67.6,0.1,0.3,46.7,0.2,0.3,63.2,0,0.1,28.6,0,0,100,0,0.1,0
29,29,Dragan Bender,PF,20,PHO,82,2069,7.1,0.524,0.665,0.105,2,16.8,9.3,8.9,0.5,2.1,18.1,12.7,-0.7,0.8,0.1,-2.7,0,-2.7,-0.4,25.2,2.3,5.9,0.386,1.4,3.9,0.366,0.8,2,0.426,0.508,0.765,6.5,0.7,1.3,54.8,0.1,0.4,25.8,0,0.1,20,0,0.1,11.1,0.7,1.9,35.1,0.8,2.1,37.1
30,30,Davis Bertans,PF,25,SAS,77,1086,14.1,0.588,0.689,0.134,1.8,13.9,7.8,10.3,1.2,2.1,8.5,17.4,1.6,1.4,3.1,1.2,-0.3,1,0.8,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.816,5.9,0.6,0.8,77.6,0.1,0.2,35.3,0.1,0.2,60,0,0.2,21.4,0.4,1.1,39.2,0.9,2.6,36.9
31,31,Khem Birch,C,25,ORL,42,578,16.4,0.582,0,0.484,13.2,21.1,17.1,8.5,1.3,2.9,12.1,13.2,1.2,0.6,1.8,-1.1,1.4,0.3,0.3,13.8,1.6,3,0.54,0,0,0,1.6,3,0.54,0.54,0.689,4.2,1.3,1.9,65.8,0.3,0.6,40,0.1,0.5,23.5,0.1,0.1,40,0,0,0,0,0,0
32,32,Bismack Biyombo,C,25,ORL,82,1495,14.1,0.556,0.003,0.446,10.5,24,17.2,6.5,0.7,5.1,16.6,14.9,1.1,1.8,2.9,-3.7,2.1,-1.6,0.2,18.2,2.2,4.3,0.52,0,0,0,2.2,4.3,0.521,0.52,0.65,5.7,1.7,2.8,62.7,0.3,0.8,34.8,0.1,0.5,28.9,0.1,0.2,31.3,0,0,0,0,0,0
33,33,Nemanja Bjelica,PF,29,MIN,67,1371,12.6,0.581,0.493,0.121,4.4,18.8,11.5,8.7,1.8,1,11.7,14.3,1.7,1.1,2.8,0.6,-0.1,0.5,0.9,20.5,2.6,5.5,0.461,1.1,2.7,0.415,1.4,2.8,0.505,0.563,0.8,6.8,1.1,1.8,59.8,0.3,0.7,37.5,0,0.1,37.5,0,0.1,0,0.4,1.1,40.5,0.7,1.6,43.9
34,34,Tarik Black,C,26,HOU,51,536,14.3,0.582,0.087,0.496,13.4,20.9,17.1,3.7,1.9,4.8,18.4,15.6,0.5,1,1.5,-3,2.1,-1,0.1,10.5,1.5,2.5,0.591,0,0.2,0.091,1.5,2.3,0.638,0.594,0.46,3.5,1.4,2.1,67.6,0.1,0.2,37.5,0,0,0,0,0,0,0,0.1,25,0,0.1,0
35,35,Bogdan Bogdanovic,SG,25,SAC,78,2175,13.5,0.556,0.426,0.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,1.8,1.1,2.9,0.5,-1.5,-1,0.6,27.9,4.4,9.9,0.446,1.7,4.2,0.392,2.8,5.7,0.485,0.529,0.84,11.8,1.1,1.9,56.6,0.3,0.7,36.2,0.5,1.1,48.2,0.5,1.2,40,1.2,2.3,50.6,0.9,2.5,35.1
36,36,Bojan Bogdanovic,SF,28,IND,80,2464,13.9,0.605,0.453,0.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19,3.8,1.6,5.4,1.1,-1.9,-0.7,0.8,30.8,5.1,10.7,0.474,1.9,4.8,0.402,3.1,5.8,0.534,0.565,0.868,14.3,2,3.2,60.5,0.4,0.9,45.7,0.4,0.8,44.8,0.4,0.8,45.3,0.9,2,42.9,1.1,2.9,38.6
37,37,Devin Booker,SG,21,PHO,54,1865,18.1,0.561,0.364,0.312,1.5,12.7,7,24.4,1.2,0.6,13.9,31.7,1.9,0.6,2.4,2.9,-2.4,0.4,1.2,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,0.878,24.9,2.4,4.2,57.7,0.7,2.1,33.3,1.2,2.9,40.8,1,2.2,46.3,1.2,3,40.5,1.9,4.8,38.3
38,38,Malcolm Brogdon,PG,25,MIL,48,1436,14.3,0.578,0.32,0.169,1.9,10.8,6.4,16.3,1.4,0.8,10.9,19.1,2,0.7,2.7,0.6,-1.9,-1.3,0.2,29.9,5.1,10.5,0.485,1.3,3.4,0.385,3.8,7.1,0.532,0.547,0.882,13,2.7,4.5,59.8,0.3,0.8,39.5,0.4,0.9,42.2,0.3,0.8,38.5,0.6,1.3,49.2,0.8,2.2,35.2
39,39,Dillon Brooks,SF,22,MEM,82,2350,9.8,0.531,0.342,0.215,2.4,10.5,6.3,9.3,1.6,0.7,12.8,18.5,0.1,1.1,1.2,-1.8,-1.3,-3.1,-0.7,28.7,4.1,9.4,0.44,1.1,3.2,0.356,3,6.2,0.484,0.501,0.747,11,1.9,3,61.9,0.4,0.9,45.3,0.3,0.9,36,0.2,0.9,20.8,0.6,1.5,38.6,0.7,2,36.4
40,40,Jaylen Brown,SG,21,BOS,70,2152,13.6,0.562,0.381,0.29,3.4,14,8.8,8.5,1.6,1,12,21.4,1.2,3.2,4.5,-0.6,0.4,-0.2,1,30.7,5.3,11.5,0.465,1.7,4.4,0.395,3.6,7.1,0.507,0.54,0.644,14.5,2.7,4.9,56.3,0.3,0.8,38.2,0.2,0.5,37.8,0.3,0.7,45.8,0.9,2.4,38.6,0.8,2.1,39.2
41,41,Sterling Brown,SG,22,MIL,54,776,9.1,0.503,0.444,0.117,4.1,17.5,10.8,4.5,2,1.4,10.4,14,0,0.7,0.7,-3.1,-1,-4,-0.4,14.4,1.5,3.8,0.4,0.6,1.7,0.352,0.9,2.1,0.439,0.478,0.875,4,0.6,1.2,47.8,0.1,0.3,25,0.2,0.3,53.3,0.1,0.3,30.8,0.3,0.9,38.3,0.3,0.9,34.8
42,42,Reggie Bullock,SF,26,DET,62,1732,13.6,0.615,0.515,0.09,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,2.8,1.4,4.2,1.3,-0.7,0.7,1.2,27.9,4.3,8.8,0.489,2,4.5,0.445,2.3,4.3,0.536,0.603,0.796,11.3,1.4,2.2,65.7,0.1,0.5,26.5,0.3,0.7,42.9,0.3,0.7,46.7,0.8,1.9,43.3,1.3,2.7,46.2
43,43,Trey Burke,PG,25,NYK,36,785,21,0.563,0.273,0.148,1.8,8.2,5,36.4,1.5,0.4,9.5,25.1,2,0.3,2.4,4.2,-3.2,1,0.6,21.8,5.4,10.7,0.503,1.1,2.9,0.362,4.3,7.8,0.556,0.552,0.649,12.8,1.3,1.9,68.1,0.4,0.9,43.8,0.7,1.4,49,1.3,2.6,50,1,1.8,56.3,0.7,2.1,35.1
44,44,Alec Burks,SG,26,UTA,64,1059,13.1,0.527,0.343,0.3,2.1,18.4,10.3,10,1.8,0.6,11.4,22.5,0.2,1.6,1.9,-2.5,-0.3,-2.8,-0.2,16.5,2.7,6.5,0.411,0.7,2.2,0.331,1.9,4.3,0.452,0.467,0.863,7.7,1.2,2.1,56.8,0.2,0.8,29.2,0.2,0.7,34.1,0.2,0.6,38.9,0.4,1.2,37.8,0.4,1.2,30.3
45,45,Jimmy Butler,SG,28,MIN,59,2164,23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1,8.9,24.9,7.1,1.8,8.9,4.9,0.1,5,3.8,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,12.2,0.509,0.512,0.854,22.2,2.9,4.6,61.7,1,1.9,53.1,1.3,2.7,46,0.9,2.3,39.3,0.8,2.3,35.3,0.6,1.6,34
46,46,José Calderón,PG,36,CLE,57,914,11.3,0.643,0.524,0.162,1.7,8.5,5.2,17.4,1.4,0.2,17.1,11.6,1.5,0.3,1.8,0.1,-2,-1.9,0,16,1.6,3.2,0.503,0.8,1.7,0.464,0.8,1.5,0.545,0.624,0.8,4.5,0.5,0.7,67.6,0,0.1,50,0.1,0.2,45.5,0.2,0.5,42.3,0.4,0.8,51.2,0.5,1.1,43.1
47,47,Kentavious Caldwell-Pope,SG,24,LAL,74,2458,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.6,0.4,1,1.9,33.2,4.6,10.8,0.426,2.1,5.6,0.383,2.4,5.2,0.473,0.526,0.789,13.4,1.5,2.4,64,0.1,0.4,23.3,0.2,0.5,34.3,0.5,1.4,37,0.8,2.3,32.9,1.5,3.8,40.5
48,48,Clint Capela,C,23,HOU,74,2034,24.5,0.65,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,6.2,4.1,10.2,0.1,2.9,3,2.6,27.5,6,9.1,0.652,0,0,0,6,9.1,0.653,0.652,0.56,13.9,5.6,8.2,68.7,0.3,0.8,33.9,0.1,0.1,55.6,0,0,33.3,0,0,0,0,0,0
49,49,DeMarre Carroll,PF,31,BRK,73,2180,14.3,0.55,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1,10.3,19.8,2.3,1.8,4.1,0.4,-0.3,0.2,1.2,29.9,4.5,10.8,0.414,2,5.4,0.371,2.5,5.4,0.457,0.506,0.764,13.5,1.7,3,55.5,0.4,1.1,34.1,0.2,0.7,36.7,0.1,0.4,26.7,1.2,3,39.3,0.9,2.5,34.1
50,50,Vince Carter,SF,41,SAC,58,1026,10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,-1.5,0.4,-1.1,0.2,17.7,2,4.9,0.403,1,2.8,0.345,1,2,0.483,0.504,0.757,5.4,0.5,0.9,57.4,0.1,0.3,25,0.1,0.1,42.9,0.2,0.4,52,0.4,1.1,32.3,0.7,1.9,37.6
51,51,Michael Carter-Williams,PG,26,CHO,52,835,10.8,0.446,0.258,0.389,4.7,13.3,8.9,19.4,2.6,2.3,16.2,16.6,-0.2,1.1,0.9,-2.6,2,-0.6,0.3,16.1,1.5,4.4,0.332,0.3,1.1,0.237,1.2,3.3,0.365,0.362,0.82,4.6,0.8,1.7,47.2,0.2,0.6,28.1,0.1,0.3,26.7,0.1,0.6,23.3,0.1,0.7,20.6,0.1,0.5,25
52,52,Alex Caruso,PG,23,LAL,37,562,8.7,0.519,0.371,0.259,2.9,9.4,6.2,17.8,2,1.4,24.5,12.9,-0.1,0.6,0.5,-3.4,0.5,-2.9,-0.1,15.2,1.4,3.1,0.431,0.4,1.2,0.302,1,2,0.507,0.487,0.7,3.6,0.8,1.1,70.7,0.1,0.3,30,0.1,0.4,23.1,0.1,0.2,25,0.1,0.4,28.6,0.3,0.8,32.1
53,53,Omri Casspi,SF,29,GSW,53,740,15.5,0.632,0.106,0.333,4.9,24,15.1,9.5,1.2,2,13.5,16.3,1.2,1,2.2,-1.5,0,-1.4,0.1,14,2.3,3.9,0.58,0.2,0.4,0.455,2.1,3.5,0.595,0.604,0.725,5.7,1.6,2.3,68,0.4,0.9,42.2,0.2,0.3,47.1,0,0,0,0.1,0.1,57.1,0.1,0.3,42.9
54,54,Willie Cauley-Stein,C,24,SAC,73,2044,17.6,0.529,0.016,0.32,7,22,14.2,13.7,1.9,3.1,11,21.8,1.7,2.2,3.9,-1.3,1.7,0.4,1.2,28,5.3,10.6,0.502,0,0.2,0.25,5.3,10.4,0.506,0.504,0.619,12.8,3.7,6,61.3,0.7,2.1,33.3,0.2,0.6,30.4,0.6,1.5,38.7,0.1,0.3,52.6,0,0.1,40
55,55,Tyler Cava0ugh,PF,23,ATL,39,518,13,0.567,0.586,0.138,9.7,17.7,13.7,7.8,0.8,0.7,8,14.8,0.9,0.3,1.2,0.5,-1.5,-1,0.1,13.3,1.7,3.9,0.441,0.8,2.3,0.36,0.9,1.6,0.556,0.546,0.81,4.7,0.6,1.2,54.3,0.1,0.2,57.1,0.1,0.1,60,0,0.1,0,0.7,1.6,42.6,0.2,0.8,29
56,56,Mario Chalmers,PG,31,MEM,66,1421,10.4,0.503,0.431,0.312,1,12,6.4,21.5,2.8,0.9,18.8,19.6,-0.6,1.3,0.6,-2.2,-0.5,-2.7,-0.3,21.5,2.5,6.7,0.379,0.8,2.9,0.277,1.7,3.8,0.456,0.439,0.855,7.7,1,2,51.2,0.2,0.6,31.7,0.3,0.7,39.5,0.1,0.3,36.4,0.5,1.2,39,0.5,1.7,27.2
57,57,Tyson Chandler,C,35,PHO,46,1151,14.2,0.658,0,0.497,12.2,26.8,19.4,6.6,0.7,1.9,20.6,10.6,1.9,0.8,2.7,-1.3,1,-0.3,0.5,25,2.6,4.1,0.647,0,0,0,2.6,4.1,0.647,0.647,0.624,6.5,2.6,4,64.8,0,0,50,0,0,100,0,0,50,0,0,0,0,0,0
58,58,Wilson Chandler,SF,30,DEN,74,2346,10.9,0.542,0.39,0.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,2.1,1.2,3.3,-0.5,-0.4,-0.9,0.6,31.7,3.8,8.5,0.445,1.2,3.3,0.358,2.6,5.2,0.501,0.515,0.772,10,1.9,3.2,59.7,0.4,1,39.4,0.1,0.5,24.3,0.1,0.4,36.7,0.6,1.8,36.2,0.6,1.7,36
